2015-03-12 13:34:24 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:34:24 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-12 13:34:24 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:34:24 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-12 13:37:24 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:37:24 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-12 13:37:24 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:37:24 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-12 13:39:40 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:39:40 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-12 13:39:40 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:39:40 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-12 13:52:39 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:52:39 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-12 13:52:39 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:52:39 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-12 13:53:31 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:53:31 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-12 13:53:31 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 13:53:31 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-12 15:26:18 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 15:26:18 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-12 15:26:18 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-12 15:26:18 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-13 09:00:23 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-13 09:00:23 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-13 09:00:23 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-13 09:00:23 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
